"name","address","city","zip","state","country","phone","email","website","openingHours","lat","lng","accuracy","error"
"SHELL FOOD MART","1183 Townsend Ave","NEW HAVEN","6510","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06510","","41.2890182","'-72.8924851","User provided",""
"Stamford Shell","2666 Summer St","STAMFORD","6905","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06905","","41.0690788","'-73.548873","User provided",""
"85 Halls Road Shell","85 Halls Rd","OLD LYME","6371","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06371","","41.3237542","'-72.336742","User provided",""
"Chiquitas Grocery Store","20 Adams Avenue","STAMFORD","6902","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06902","","41.0564224","'-73.5477582","User provided",""
"Cranbury Wines & Liquors","24 Chestnut Hill Rd","NORWALK","6851","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06851","","41.1474","'-73.3950784","User provided",""
"WATERBURY QUICK MART LLC","467 Wolcott St","WATERBURY","6705","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06705","","41.5551314","'-73.014877","User provided",""
"KENT PATCO HANDY STOP","5 S Main St RTE 7 & RTE 341","KENT","6757","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06757","","41.7247554","'-73.4769643","User provided",""
"Cumberland Farms #4760","1978 West Street","SOUTHINGTON","6489","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06489","","41.641317","'-72.9010336","User provided",""
"NORTH ELM MOBIL","100 N ELM ST","TORRINGTON","6790","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06790","","41.812388","'-73.124325","User provided",""
"Ocean Discount Wine & Spirit L","827 Montauk Ave","NEW LONDON","6320","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06320","","41.3231614","'-72.0924224","User provided",""
"Thompson Liquor","520 Riverside Dr","N GROSVENOR DALE","6255","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06255","","41.963579","'-71.8874114","User provided",""
"STOP & SHOP #679","240 CHASE AVE","WATERBURY","6701","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06701","","41.5808811","'-73.0333461","User provided",""
"CAESAR`S LIQUOR STORE","247 LEXINGTON AVE","BRIDGEPORT","6604","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06604","","41.1844028","'-73.1985022","User provided",""
"Bridgeport Minimart","1025 East Main St","BRIDGEPORT","6608","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06608","","41.1886831","'-73.1807321","User provided",""
"BIG Y WORLD CLASS MKT #47","403 MAIN ST","ANSONIA","6401","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06401","","41.3397","'-73.076914","User provided",""
"Jascarli Mini Market","284 Colonial Ave","WATERBURY","6705","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06705","","41.587634","'-73.0603919","User provided",""
"CON MINI MARKET LLC","190 W MAIN ST","STAMFORD","6902","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06902","","41.0501853","'-73.5477537","User provided",""
"HONEYSPOT GULF LLC","245 Honeyspot Rd","STRATFORD","6615","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06615","","41.1812534","'-73.1432096","User provided",""
"COS COB STATIONERY","228 POST RD","COS COB","6807","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06807","","41.036871","'-73.6040898","User provided",""
"Oak St. Pub + Cafe","30 Oak Street","MANCHESTER","6040","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06040","","41.7691756","'-72.5191609","User provided",""
"WEST SIDE SPIRITS","716-718 WEST ST","SOUTHINGTON","6489","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06489","","41.6075402","'-72.8988742","User provided",""
"International Wines & Spirits","148 Shield St","WEST HARTFORD","6110","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06110","","41.7278349","'-72.7202486","User provided",""
"MRS. P`S PETRO MART","441 W Avon Rd","AVON","6001","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06001","","41.787795","'-72.86416","User provided",""
"Cambrense Cafe and Restaurant","4 New Park Ave","HARTFORD","6106","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06106","","41.7570625","'-72.7063287","User provided",""
"On the Go- Newfield","1075 Newfield Street","MIDDLETOWN","6457","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06457","","41.5876647","'-72.6755445","User provided",""
"CUMBERLAND FARMS #4742","1132 Main St.","WILLIMANTIC","6226","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06226","","41.713492","'-72.2223661","User provided",""
"Gulf Express","120 Main Street","TERRYVILLE","6786","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06786","","41.6790209","'-73.002531","User provided",""
"Cromwell Mobil","123 Berlin Rd","CROMWELL","6416","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06416","","41.6050916","'-72.7071536","User provided",""
"New Britain Wine & Liquor","208 Hillhurst Avenue","NEW BRITAIN","6053","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06053","","41.6786841","'-72.8113562","User provided",""
"Kiko Mart","160 Windsor Ave","WINDSOR","6095","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06095","","41.806812","'-72.658204","User provided",""
